excluida;linha;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;AVALIADOR.3;AVALIADOR.2;AVALIADOR.1;VOTO.COERENTE;VOTO.INCOERENTE;COERENCIA.FINAL;dptOIE;stanford;orange;mquni;lys;sistemas;COERÊNCIA
;572;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal em 1985 en as escolinhas de o clube Álvares Cabral ;1;1;1;3;0;1;0;1;1;1;1;stanford, orange, mquni, lys;1
;573;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória ;1;1;1;3;0;1;0;0;0;0;1;lys;1
;574;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES ;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie;1
;575;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal em Vitória ;1;1;1;3;0;1;0;0;0;0;1;lys;1
;576;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal em Vitória , ES ;1;1;1;3;0;1;0;1;1;1;0;stanford, orange, mquni;1
;577;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal en as escolinhas de o clube Álvares Cabral ;1;1;1;3;0;1;0;1;1;1;1;stanford, orange, mquni, lys;1
;578;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Pierre ; começou a jogar;Futsal en as escolinhas de o clube Álvares Cabral em Vitória , ES ;1;1;1;3;0;1;1;0;0;0;0;dptoie;1
;579;39;Pierre começou a jogar Futsal em 1985 en as escolinhas de o clube Álvares Cabral em Vitória , ES . ;Vitória ; é;ES ;0;0;0;0;3;0;1;1;1;1;0;stanford, orange, mquni, dptoie;0
;580;40;Este asteróide foi descoberto em 27 de Abril de 1998 por Paul Comba . ;Este asteróide ; foi descoberto;em 27 de Abril de 1998 ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;581;40;Este asteróide foi descoberto em 27 de Abril de 1998 por Paul Comba . ;Este asteróide ; foi descoberto;em 27 de Abril de 1998 por Paul Comba ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;582;40;Este asteróide foi descoberto em 27 de Abril de 1998 por Paul Comba . ;Este asteróide ; foi descoberto;por Paul Comba ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;583;41;Sua capital é a cidade de Tarata . ;Sua capital ; é;a cidade de Tarata ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;584;41;Sua capital é a cidade de Tarata . ;Sua capital ; é a cidade;de Tarata ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;585;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é;um distrito de o Peru ;1;1;1;3;0;1;1;0;1;1;1;orange, mquni, lys, dptoie;1
;586;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é;um distrito de o Peru , departamento de Puno ;1;1;1;3;0;1;0;1;0;0;0;stanford;1
;587;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;de o Peru ;1;1;1;3;0;1;1;0;1;1;1;orange, mquni, lys, dptoie;1
;588;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;de o Peru , departamento de Puno ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;589;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;de o Peru , departamento de Puno , localizada en a província de Carabaya ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;590;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;departamento ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;591;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;departamento , localizada en a província de Carabaya ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;592;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;departamento de Puno ;0;0;0;0;3;0;1;0;1;1;1;orange, mquni, lys, dptoie;0
;593;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;Corani ; é um distrito;localizada en a província de Carabaya ;1;1;1;3;0;1;0;1;1;1;1;stanford, orange, mquni, lys;1
;594;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;o Peru ; é;departamento de Puno ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;595;42;Corani é um distrito de o Peru , departamento de Puno , localizada en a província de Carabaya . ;um distrito de o Peru ; é;departamento de Puno ;0;0;0;0;3;0;1;0;1;0;1;orange, lys, dptoie;0
;596;43;Localiza - se en o departamento de Santa Rosa , Município de Chiquimulilla . ;;;;;;0;0;1;0;0;0;0;0;1;lys;0
;597;43;Localiza - se en o departamento de Santa Rosa , Município de Chiquimulilla . ;Santa Rosa ; é;Município de Chiquimulilla ;0;1;1;2;1;1;1;1;1;1;0;stanford, orange, mquni, dptoie;1
;598;44;Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ;Esta lista ; reúne;os recordes de 2008 ;0;1;1;2;1;1;0;0;0;0;1;lys;1
;599;44;Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ;Esta lista ; reúne;os recordes olímpicos de o tiro atualizados ;1;0;1;2;1;1;0;0;0;0;1;lys;1
;600;44;Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ;Esta lista ; reúne;os recordes olímpicos de o tiro esportivo ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;601;44;Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ;Esta lista ; reúne;os recordes olímpicos de o tiro esportivo , atualizados ;1;1;0;2;1;1;0;0;0;0;1;lys;0
;602;44;Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ;Esta lista ; reúne;os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão ;1;1;1;3;0;1;0;0;0;0;1;lys;1
;603;44;Esta lista reúne os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 . ;Esta lista ; reúne;os recordes olímpicos de o tiro esportivo , atualizados até os Jogos Olímpicos de Verão de 2008 ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;604;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;O beato ; é;muito famoso ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;605;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;O beato ; é;muito famoso , sendo considerado responsável por vários milagres ocorridos por todo o país ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;606;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;O beato ; é;muito famoso por todo o Brasil ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;607;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;O beato ; é;muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;608;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;O beato ; é;Padre Eustáquio ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;609;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;Padre Eustáquio ; é;muito famoso ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;610;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;Padre Eustáquio ; é;muito famoso , sendo considerado responsável por vários milagres ocorridos por todo o país ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;611;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;Padre Eustáquio ; é;muito famoso por todo o Brasil ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;612;45;O beato Padre Eustáquio é muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país . ;Padre Eustáquio ; é;muito famoso por todo o Brasil , sendo considerado responsável por vários milagres ocorridos por todo o país ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;613;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;;;;;;0;0;1;0;1;1;1;1;0;stanford, orange, mquni, dptoie;0
;614;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;o objetivo de a missão ; apenas aproximar - se;como um teste ;0;1;0;1;2;0;0;0;0;0;1;lys;0
;615;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;o objetivo de a missão ; apenas aproximar - se;de a Soyuz 2 ;0;1;0;1;2;0;0;0;0;0;1;lys;0
;616;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;o objetivo de a missão ; apenas aproximar - se;de a Soyuz 2 como um teste ;0;1;0;1;2;0;0;0;0;0;1;lys;0
;617;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;o objetivo de a missão ; apenas aproximar - se;de a Soyuz 2 como um teste , sem acoplamento ;0;1;0;1;2;0;0;0;0;0;1;lys;0
;618;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;o objetivo de a missão ; apenas aproximar - se;Segundo informações oficiais ;0;1;0;1;2;0;0;0;0;0;1;lys;0
;619;46;Segundo informações oficiais , o objetivo de a missão era apenas aproximar - se de a Soyuz 2 como um teste , sem acoplamento . ;o objetivo de a missão ; apenas aproximar - se;sem acoplamento ;0;1;0;1;2;0;0;0;0;0;1;lys;0
;620;47;Salleri é uma cidade de o Nepal . ;Salleri ; é;uma cidade de o Nepal ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;621;47;Salleri é uma cidade de o Nepal . ;Salleri ; é uma cidade;de o Nepal ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;622;48;Exerceu várias vezes o cargo de deputado provincial por Pernambuco . ;;;;;;0;0;1;0;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;0
;623;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;a cultura ; é;Yoruba ;0;1;0;1;2;0;1;1;1;0;1;stanford, orange, lys, dptoie;0
;624;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;África Ocidental ; derivam;de onde ;0;0;0;0;3;0;1;0;0;0;0;dptoie;0
;625;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central ; derivam -;o Orixá de a cultura , e Burkina Faso ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;626;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central ; derivam -;o Orixá de a cultura de onde ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;627;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central ; derivam -;o Orixá de a cultura Yoruba ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;628;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central ; derivam -;o Orixá de a cultura Yoruba , e Burkina Faso ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;629;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;- o Orixá de a cultura , o nkisi de os tradições , Togo , e Burkina Faso de onde ;0;0;0;0;3;0;0;1;0;0;0;stanford;
;630;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;#NOME?;0;0;0;0;3;0;0;1;0;0;0;stanford;
;631;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;- o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , Togo , sul de Ghana , e Burkina Faso ;0;0;0;0;3;0;0;1;0;0;0;stanford;
;632;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;#NOME?;0;0;0;0;3;0;0;1;0;0;0;stanford;
;633;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;de a cultura Yoruba Burkina Faso ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;634;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;de a cultura Yoruba Burkina Faso de onde ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;635;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;de a cultura Yoruba o nkisi de os tradições Bantu ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;636;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;de a cultura Yoruba o nkisi de os tradições Bantu de onde ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;637;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;de a cultura Yoruba Togo , sul de Ghana ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;638;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;as tradições de a África Central e África Ocidental ; derivam;de a cultura Yoruba Togo , sul de Ghana de onde ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;639;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;Bantu ; é;( Congo ) ;0;0;0;0;3;0;1;0;1;0;0;orange, dptoie;0
;640;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;e ; o vodou;de o Dahomey ( Benin ) ;0;0;0;0;3;0;0;0;0;0;1;lys;0
;641;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Burkina Faso ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;642;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Burkina Faso onde ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;643;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura o nkisi de os tradições Bantu ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;644;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura o nkisi de os tradições Bantu onde ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;645;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Togo , sul de Ghana ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;646;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;en as tradições de a África África Ocidental de onde eles derivam - o Orixá de a cultura Togo , sul de Ghana onde ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;647;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;648;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;649;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o onde ;0;0;0;0;3;0;0;0;0;1;0;mquni;0
;650;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá ;0;0;0;0;3;0;0;0;1;1;0;orange, mquni;0
;651;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá , e o vodou , Togo , sul de Ghana , e Burkina Faso ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;652;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá , e o vodou de o Dahomey ( Benin ) ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;653;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba ;0;0;0;0;3;0;0;0;1;1;0;orange, mquni;0
;654;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou ( Benin ) de Burkina Faso ;0;0;1;1;2;0;0;0;1;0;0;orange;1
;655;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou ( Benin ) de Burkina Faso onde ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;656;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou ( Benin ) de sul de Ghana ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;657;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou ( Benin ) de sul de Ghana onde ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;658;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou ( Benin ) de Togo ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;659;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou ( Benin ) de Togo onde ;0;0;0;0;3;0;0;0;1;0;0;orange;0
;660;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) ;0;0;1;1;2;0;0;0;1;0;0;orange;1
;661;49;Similares espíritos divinos também são encontrados en as tradições de a África Central e África Ocidental de onde eles derivam - o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso . ;eles ; derivam -;o Orixá de a cultura Yoruba , o nkisi de os tradições Bantu ( Congo ) , e o vodou de o Dahomey ( Benin ) , Togo , sul de Ghana , e Burkina Faso ;0;0;1;1;2;0;0;0;1;1;0;orange, mquni;1
